Comment,Designator,Footprint,LCSC
120R,FB1,L_0805_2012Metric,C1015
TL071,U7,SOIC-8_3.9x4.9mm_P1.27mm,C107648
1k,"R11,R35,R40,R49,R5,R7",R_0402_1005Metric,C11702
22u,C42,C_1206_3216Metric,C12891
2k7,"R28,R52",R_0603_1608Metric,C13167
100n,C16,C_0603_1608Metric,C14663
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C146799
10n,"C19,C20,C23,C27,C28,C38,C40",C_0402_1005Metric,C15195
0.1u,"C43,C44,C47,C48,C50,C51",C_0402_1005Metric,C1525
47p,C52,C_0402_1005Metric,C1567
30p,"C14,C15",C_0402_1005Metric,C1570
1n5,C17,C_0603_1608Metric,C1595
15n,"C21,C22",C_0603_1608Metric,C1596
47n,"C45,C46",C_0603_1608Metric,C1622
.047u,"C24,C25,C30,C41,C49",C_0603_1608Metric,C1623
TYPE-C-31-M-12,J2,HRO_TYPE-C-31-M-12,C165948
220n,C39,C_0402_1005Metric,C16772
16k,R13,R_0805_2012Metric,C17490
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
33n,"C18,C32,C33,C35,C37",C_0603_1608Metric,C21117
D_Schottky,"D1,D2",D_SMA,C22452
3k6,R45,R_0603_1608Metric,C22980
4k3,R50,R_0603_1608Metric,C23159
560,R24,R_0603_1608Metric,C23204
750,R23,R_0603_1608Metric,C23241
9k1,R43,R_0603_1608Metric,C23260
100,"R30,R48,R57",R_0402_1005Metric,C25076
120,"R25,R26",R_0402_1005Metric,C25079
4u7,C34,CP_Elec_4x5.4,C250890
300,R36,R_0402_1005Metric,C25102
510,"R14,R22",R_0402_1005Metric,C25123
10k,"R10,R55",R_0402_1005Metric,C25744
12k,R9,R_0402_1005Metric,C25752
15k,R12,R_0402_1005Metric,C25756
18k,R47,R_0402_1005Metric,C25762
33k,R44,R_0402_1005Metric,C25779
1k5,R56,R_0402_1005Metric,C25867
2k2,R41,R_0402_1005Metric,C25879
2k4,"R17,R18",R_0402_1005Metric,C25882
3k3,"R27,R46",R_0402_1005Metric,C25890
5.1k,"R1,R2,R29",R_0402_1005Metric,C25905
6k8,"R19,R31,R32,R8",R_0402_1005Metric,C25917
7.5k,R16,R_0402_1005Metric,C25918
1k6,R33,R_0402_1005Metric,C25931
11k,"R21,R34",R_0603_1608Metric,C25950
100n,"C1,C10,C11,C13,C3,C4,C6,C8,C9",C_0402_1005Metric,C307331
27r4,"R3,R4",R_0402_1005Metric,C31439
560p,C31,C_0402_1005Metric,C318606
TS-1187A-B-A-B,"S1,S2",SW_TS-1187A-B-A-B,C318884
68k,R37,R_0402_1005Metric,C36871
2k,"R38,R39,R42",R_0402_1005Metric,C4109
240k,R15,R_0603_1608Metric,C4197
3k,"R20,R54",R_0603_1608Metric,C4211
6k2,R53,R_0603_1608Metric,C4260
1u,"C2,C29,C36,C5",C_0402_1005Metric,C52923
180n,C26,C_0805_2012Metric,C67952
LM324,"U4,U6",SOIC-14_3.9x8.7mm_P1.27mm,C71035
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
D_Small,"D3,D4,D5,D6",D_SMA,C95872
10u,"C12,C7",C_0603_1608Metric,C96446
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
